title,categories,manufacturer,brand,category_code,brand01,title_clean,categories_clean,manufacturer_clean,brand_clean,category_code_clean,brand01_clean,max_match_score
"Dixie PerfecTouch 12oz Insulated Paper Hot Cup by GP PRO (Georgia-Pacific), Fits Large Lids, Coffee Haze, 5342CD, 1000 Count (50 Cups Per Pack, 20 Packs Per Case)","[""Health & Household"",""Household Supplies"",""Paper & Plastic"",""Disposable Drinkware"",""Cups""]",‏  ‎ Georgia-Pacific,Georgia-Pacific,,,dixie perfectouch 12oz insulated paper hot cup by gp pro  georgia pacific  fits large lids  coffee haze  5342cd  1000 count  50 cups per pack  20 packs per case,health   household household supplies paper   plastic disposable drinkware cups,georgia pacific,georgia pacific,,,70.0
"Custom Premium Business Cards 100 pcs Full color - Printed on 16pt(350gsm) or14pt (308gsm) Classic matte paper, Made in The USA (Marble Half)","[""Office Products"",""Office & School Supplies"",""Paper"",""Cards & Card Stock"",""Business Cards""]",impactonlineprinting,IMPACTONLINEPRINTING,,,custom premium business cards 100 pcs full color   printed on 16pt 350gsm  or14pt  308gsm  classic matte paper  made in the usa  marble half,office products office   school supplies paper cards   card stock business cards,impactonlineprinting,impactonlineprinting,,,70.0
Stylus Pen anngrowy Stylus Pens Universal Ballpoint Pen 2 in 1 Stylists Pens for iPad iPhone Tablet Laptops Kindle Samsung Galaxy All Capacitive Touch Screens,"[""Cell Phones & Accessories"",""Accessories"",""Stylus Pens""]",anngrowy,anngrowy,,,stylus pen anngrowy stylus pens universal ballpoint pen 2 in 1 stylists pens for ipad iphone tablet laptops kindle samsung galaxy all capacitive touch screens,cell phones   accessories accessories stylus pens,anngrowy,anngrowy,,,70.0
"Amana Tool - 1/8 Dia Spring Collets ER20 (CO-272), Industrial Grade","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Router Parts & Accessories"",""Collets""]",Amana Tool,Amana Tool,,,amana tool   1 8 dia spring collets er20  co 272  industrial grade,tools   home improvement power   hand tools power tool parts   accessories router parts   accessories collets,amana tool,amana tool,,,70.0
"PUR Gum Sugar Free Chewing Gum with Xylitol, Aspartame Free + Gluten Free, Vegan & Keto Friendly - Natural Wintergreen Flavored Gum, 9 Pieces (Pack of 12)","[""Grocery & Gourmet Food"",""Snacks & Sweets"",""Candy & Chocolate"",""Chewing & Bubble Gum""]",‏  ‎ The PUR Company,PUR,,,pur gum sugar free chewing gum with xylitol  aspartame free   gluten free  vegan   keto friendly   natural wintergreen flavored gum  9 pieces  pack of 12,grocery   gourmet food snacks   sweets candy   chocolate chewing   bubble gum,the pur company,pur,,,80.0
"SpeTool 5PCS Single Flute End Mill Set with 1/4 Shank 1"" Cutting Length 2"" OVL, Solid Carbide O Flute Spiral Upcut Router Bits CNC Milling Cutter for Wood Aluminium Acrylic","[""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Router Parts & Accessories"",""Router Bits"",""Straight, Spiral & Trim Bits"",""Spiral""]",SpeTool,SpeTool,,,spetool 5pcs single flute end mill set with 1 4 shank 1  cutting length 2  ovl  solid carbide o flute spiral upcut router bits cnc milling cutter for wood aluminium acrylic,power   hand tools power tool parts   accessories router parts   accessories router bits straight  spiral   trim bits spiral,spetool,spetool,,,70.0
"Mead Loose-Leaf Memo Book, 6 3/4 x 3 3/4"", 6-Ring, 1/2-Inch, 40 Pages, Assorted - Color May Vary (46034)","[""Office Products"",""Office & School Supplies"",""Paper"",""Notebooks & Writing Pads"",""Memo & Scratch Pads""]",Cell Distributors,Mead,,,mead loose leaf memo book  6 3 4 x 3 3 4  6 ring  1 2 inch  40 pages  assorted   color may vary  46034,office products office   school supplies paper notebooks   writing pads memo   scratch pads,cell distributors,mead,,,70.0
JAM PAPER Circular Paper Clips - Round Paperclips - Yellow - 50/Pack,"[""Office Products"",""Office & School Supplies"",""Tape, Adhesives & Fasteners"",""Clips, Clamps & Rings"",""Clips""]",‎JAM Paper & Envelope,JAM Paper,,,jam paper circular paper clips   round paperclips   yellow   50 pack,office products office   school supplies tape  adhesives   fasteners clips  clamps   rings clips,jam paper   envelope,jam paper,,,71.42857142857143
BOSCH HCS200 2 In. Edge Wood Hole Saw with Arbor,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Power Drill Parts & Accessories"",""Hole Saws & Accessories"",""Hole Saws""]",Bosch,BOSCH,,,bosch hcs200 2 in  edge wood hole saw with arbor,tools   home improvement power   hand tools power tool parts   accessories power drill parts   accessories hole saws   accessories hole saws,bosch,bosch,,,70.0
"4 Pieces 5/8 Inch Wood Carving Chain Disc, 4 Inch 22 Teeth Saw Blade with 3 Pieces Replacement Circlets for Grinder Chain Disc Grinding Shaping Attachment Circular Chainsaw Wheel (Pink Center)","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Saw Blades, Parts & Accessories"",""Blades"",""Circular Saw Blades""]",Mudder,Mudder,,,4 pieces 5 8 inch wood carving chain disc  4 inch 22 teeth saw blade with 3 pieces replacement circlets for grinder chain disc grinding shaping attachment circular chainsaw wheel  pink center,tools   home improvement power   hand tools power tool parts   accessories saw blades  parts   accessories blades circular saw blades,mudder,mudder,,,70.0
"IRWIN Impact Driver Bit Set, Assorted, Hex Head, 1-Inch, 8-Pack (1902388)","[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool Parts & Accessories"",""Screwdriver Accessories"",""Screwdriver Bit Sets""]",IRWIN,IRWIN,,,irwin impact driver bit set  assorted  hex head  1 inch  8 pack  1902388,tools   home improvement power   hand tools power tool parts   accessories screwdriver accessories screwdriver bit sets,irwin,irwin,,,70.0
SOLE Active Medium Wide Shoe Insoles - Men's Size 8/Women's Size 10,"[""Health & Household"",""Health Care"",""Foot Health"",""Inserts & Insoles"",""Insoles""]",‏  ‎ SOLE,SOLE,,,sole active medium wide shoe insoles   men s size 8 women s size 10,health   household health care foot health inserts   insoles insoles,sole,sole,,,75.0
